"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
3863,42.2,42.2,57.8,"Jenaz GR","Jenaz (GR)","Jenaz GR","C'est non à 57,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Jenaz. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 83,6 pour cent de non. Les citoyens de Jenaz avaient déjà refusé la précédente révision de l'AVS en 2017."
3871,54.4,54.4,45.6,"Klosters-Serneus GR","Klosters-Serneus (GR)","Klosters-Serneus GR","A Klosters-Serneus, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 54,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 67,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Klosters-Serneus passe cette fois-ci du côté du oui."
3881,58.6,58.6,41.4,"Conters im Prättigau GR","Conters im Prättigau (GR)","Conters im Prättigau GR","A Conters im Prättigau, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 58,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 90,3 pour cent de non. Les citoyens de Conters im Prättigau avaient déjà refusé la précédente révision de l'AVS en 2017."
3882,43.7,43.7,56.3,"Küblis GR","Küblis (GR)","Küblis GR","A Küblis, les habitants disent non à 56,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 77,9 pour cent des suffrages. Les citoyens de Küblis avaient déjà refusé la précédente révision de l'AVS en 2017."
3891,47.1,47.1,52.9,"Luzein GR","Luzein (GR)","Luzein GR","Les habitants de Luzein s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 52,9 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 89,7 pour cent des suffrages. Les citoyens de Luzein avaient déjà refusé la précédente révision de l'AVS en 2017."
3901,39.6,39.6,60.4,"Chur GR","Coire (GR)","Coira GR","A Coire, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 60,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 70,7 pour cent des suffrages. Coire avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3911,29.8,29.8,70.2,"Churwalden GR","Churwalden (GR)","Churwalden GR","A Churwalden, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 70,2 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 53,9 pour cent de non. Les citoyens de Churwalden avaient déjà refusé la précédente révision de l'AVS en 2017."
3921,27.4,27.4,72.6,"Arosa GR","Arosa (GR)","Arosa GR","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Arosa avec 72,6 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 98,2 pour cent des suffrages. Les citoyens d'Arosa avaient déjà refusé la précédente révision de l'AVS en 2017."
3932,30.8,30.8,69.2,"Tschiertschen-Praden GR","Tschiertschen-Praden (GR)","Tschiertschen-Praden GR","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Tschiertschen-Praden avec 69,2 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 54,6 pour cent des suffrages. Les citoyens de Tschiertschen-Praden avaient déjà refusé la précédente révision de l'AVS en 2017."
3945,41.8,41.8,58.2,"Trimmis GR","Trimmis (GR)","Trimmis GR","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Trimmis avec 58,2 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 54,3 pour cent de non. Les citoyens de Trimmis avaient déjà refusé la précédente révision de l'AVS en 2017."
3946,69.3,69.3,30.7,"Untervaz GR","Untervaz (GR)","Untervaz GR","A Untervaz, les habitants disent oui à 69,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 68,2 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Untervaz passe cette fois-ci du côté du oui."
3947,73.1,73.1,26.9,"Zizers GR","Zizers (GR)","Zizers GR","Les électeurs de Zizers valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 73,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 74,2 pour cent de non. Les citoyens de Zizers avaient déjà refusé la précédente révision de l'AVS en 2017."
3951,44.5,44.5,55.5,"Fläsch GR","Fläsch (GR)","Fläsch GR","C'est non à 55,5 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Fläsch. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 65,5 pour cent de non. Les citoyens de Fläsch avaient déjà refusé la précédente révision de l'AVS en 2017."
3952,43.9,43.9,56.1,"Jenins GR","Jenins (GR)","Jenins GR","A Jenins, les habitants disent non à 56,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 82,4 pour cent de non. Les citoyens de Jenins avaient déjà refusé la précédente révision de l'AVS en 2017."
3953,77.4,77.4,22.6,"Maienfeld GR","Maienfeld (GR)","Maienfeld GR","Les habitants de Maienfeld acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 77,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 50,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Maienfeld passe cette fois-ci du côté du oui."
3954,44.6,44.6,55.4,"Malans GR","Malans (GR)","Malans GR","C'est non à 55,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Malans. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 92,3 pour cent de non. Malans avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3955,49.4,49.4,50.6,"Landquart GR","Landquart (GR)","Landquart GR","Les habitants de Landquart s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 50,6 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 94,1 pour cent de non. Les citoyens de Landquart avaient déjà refusé la précédente révision de l'AVS en 2017."
3961,24.4,24.4,75.6,"Grüsch GR","Grüsch (GR)","Grüsch GR","Les habitants de Grüsch rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 75,6 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 64,7 pour cent de non. Les citoyens de Grüsch avaient déjà refusé la précédente révision de l'AVS en 2017."
3962,23.1,23.1,76.9,"Schiers GR","Schiers (GR)","Schiers GR","A Schiers, les habitants disent non à 76,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 94,8 pour cent des suffrages. Les citoyens de Schiers avaient déjà refusé la précédente révision de l'AVS en 2017."
3972,92.2,92.2,7.8,"Seewis im Prättigau GR","Seewis im Prättigau (GR)","Seewis im Prättigau GR","C'est oui à 92,2 pour cent à la réforme de l'AVS à Seewis im Prättigau. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 58,8 pour cent de non. Les citoyens de Seewis im Prättigau avaient déjà refusé la précédente révision de l'AVS en 2017."
3981,81.1,81.1,18.9,"Breil/Brigels GR","Breil/Brigels (GR)","Breil/Brigels GR","Les électeurs de Breil/Brigels valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 81,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 85,2 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Breil/Brigels passe cette fois-ci du côté du oui."
3982,67.7,67.7,32.3,"Disentis/Mustér GR","Disentis/Mustér (GR)","Disentis/Mustér GR","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Disentis/Mustér avec 67,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 51 pour cent de non. Les citoyens de Disentis/Mustér avaient déjà refusé la précédente révision de l'AVS en 2017."
3983,82.4,82.4,17.6,"Medel (Lucmagn) GR","Medel (Lucmagn) (GR)","Medel (Lucmagn) GR","Les habitants de Medel (Lucmagn) acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 82,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 57,6 pour cent de non. Medel (Lucmagn) avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3985,40.4,40.4,59.6,"Sumvitg GR","Sumvitg (GR)","Sumvitg GR","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Sumvitg avec 59,6 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 74,1 pour cent des suffrages. Sumvitg avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3986,91.5,91.5,8.5,"Tujetsch GR","Tujetsch (GR)","Tujetsch GR","A Tujetsch, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 91,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 82,1 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Tujetsch passe cette fois-ci du côté du oui."
3987,55.2,55.2,44.8,"Trun GR","Trun (GR)","Trun GR","Les habitants de Trun approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 54,9 pour cent des voix. Les électeurs de Trun avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
3988,45,45,55,"Obersaxen Mundaun GR","Obersaxen Mundaun (GR)","Obersaxen Mundaun GR","Les habitants d'Obersaxen Mundaun rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 97,8 pour cent des suffrages. Les citoyens d'Obersaxen Mundaun avaient déjà refusé la précédente révision de l'AVS en 2017."
4001,76.9,76.9,23.1,"Aarau AG","Aarau (AG)","Aarau AG","Les habitants d'Aarau acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 76,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 52,5 pour cent de non. Aarau avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
4002,5.3,5.3,94.7,"Biberstein AG","Biberstein (AG)","Biberstein AG","Les habitants de Biberstein s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 94,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 70,2 pour cent des suffrages. Les citoyens de Biberstein avaient déjà refusé la précédente révision de l'AVS en 2017."
4003,51.9,51.9,48.1,"Buchs AG","Buchs (AG)","Buchs AG","A Buchs (AG), les habitants disent oui à 51,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 59,8 pour cent de non. Les citoyens de Buchs (AG) avaient déjà refusé la précédente révision de l'AVS en 2017."
